电影名称,封面链接,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数
飞屋环游记,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p485887754.jpg,彼特·道格特 / 鲍勃·彼德森,,爱德华·阿斯纳 / 克里斯托弗·普卢默 / 乔丹·长井 / 鲍勃·彼德森 / 德尔罗伊·林多 / 杰罗姆·兰福特 / 约翰·拉森贝格 / 大卫·卡耶,剧情 / 喜剧 / 动画,美国,英语,2009-08-04(中国大陆),96分钟,9.1,1521567
蝙蝠侠：黑暗骑士,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p462657443.jpg,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 / 迈克尔·凯恩 / 玛吉·吉伦哈尔 / 加里·奥德曼 / 摩根·弗里曼 / 莫尼克·加布里埃拉·库尔内,剧情 / 动作 / 科幻,美国 / 英国,英语 / 汉语普通话,2008-07-14(纽约首映),152分钟,9.2,1212713
天空之城,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2892409201.jpg,宫崎骏,宫崎骏,田中真弓 / 横泽启子 / 初井言荣 / 寺田农 / 常田富士男 / 永井一郎 / 糸博 / 鹫尾真知子,动画 / 奇幻 / 冒险,日本,日语,1992-05-01(中国大陆),125分钟,9.2,1022039
哈尔的移动城堡,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2907583906.jpg,宫崎骏,宫崎骏,倍赏千惠子 / 木村拓哉 / 美轮明宏 / 我修院达也 / 神木隆之介 / 伊崎充则 / 大泉洋 / 大塚明夫,爱情 / 动画 / 奇幻,日本,日语,2024-04-30(中国大陆),119分钟,9.1,1313859
指环王3：王者无敌,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2642829472.jpg,彼得·杰克逊,弗兰·威尔士,伊利亚·伍德 / 西恩·奥斯汀 / 维果·莫腾森 / 奥兰多·布鲁姆 / 伊恩·麦克莱恩 / 肖恩·宾 / 多米尼克·莫纳汉 / 丽芙·泰勒,剧情 / 动作 / 奇幻,美国 / 新西兰,英语 / 昆雅语 / 古英语 / 辛达林语,2004-03-12(中国大陆),201分钟 / 254分钟(加长版) / 263分钟(蓝光加长版),9.3,923850
茶馆,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2528965424.jpg,谢添,,于是之 / 郑榕 / 蓝天野 / 英若诚 / 黄宗洛 / 童超 / 金昭 / 林连昆,剧情 / 历史,中国大陆,汉语普通话,1982(中国大陆),118分钟,9.5,217925
素媛,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2118532944.jpg,李濬益,金智慧,薛景求 / 严志媛 / 李来 / 金海淑 / 金相镐 / 罗美兰 / 杨真诚 / 权泰元,剧情,韩国,韩语,2013-10-02(韩国),122分钟,9.3,786129
我不是药神,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2527119568.jpg,文牧野,韩家女,徐峥 / 王传君 / 周一围 / 谭卓 / 章宇 / 杨新鸣 / 王砚辉 / 王佳佳,剧情 / 喜剧,中国大陆,汉语普通话 / 英语 / 上海话 / 印地语,2018-07-05(中国大陆),117分钟,9.0,2381302
高山下的花环,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2319879389.jpg,谢晋,李存葆,吕晓禾 / 唐国强 / 何伟 / 童超 / 盖克 / 王玉梅 / 刘燕生 / 斯琴高娃,剧情 / 战争,中国大陆,汉语普通话,1984(中国大陆),146分钟,9.5,169804
钢琴家,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1381339291.jpg,罗曼·波兰斯基,罗纳德·哈伍德,阿德里安·布罗迪 / 托马斯·克莱舒曼 / 艾米莉娅·福克斯 / 米哈乌·热布罗夫斯基 / 埃德·斯托帕德 / 穆琳·利普曼 / 弗兰克·芬莱 / 茱莉亚·蕾娜,剧情 / 音乐 / 传记,英国 / 法国 / 波兰 / 德国 / 美国,英语 / 德语 / 俄语,2002-05-24(戛纳电影节),149分钟,9.3,761083
初步举证,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2918386473.jpg,贾斯汀·马丁,苏茜·米勒,朱迪·科默,剧情,英国,英语,2025-02-28(中国大陆),109分钟,9.5,215163
乱世佳人,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1963126880.jpg,维克多·弗莱明 / 乔治·库克 / 山姆·伍德,,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰 / 托马斯·米切尔 / 芭芭拉·欧内尔 / 伊夫林·凯耶斯 / 安·卢瑟福德 / 乔治·里弗斯,剧情 / 爱情 / 历史,美国,英语,1939-12-15(美国),233分钟,9.3,808367
